,(回憶),hello.mp3
,那是7年前，一個暑假的午後，我和妹妹第一次來台大玩的時候。,hello.mp3
妹妹,哥哥、快一點啦~,hello.mp3
,妹妹拉著我的手，向前跑去。,hello.mp3
我,等、等一下啦!,hello.mp3
,我小心地牽著她，兩人有說有笑的踏著青，最後停在了一座湖前。,hello.mp3
妹妹,哥哥，我可以到那個涼亭看風景嗎?,hello.mp3
,她淘氣地說。,hello.mp3
我,哈哈，你上不去啦。中間又沒有路。,hello.mp3
妹妹,那、哪時候會有路可以讓我過去呢?,hello.mp3
,看著妹妹天真無邪的疑問表情，,hello.mp3
我,等妳長大吧，到那個時候可能就會有橋可以過去了。,hello.mp3
,妹妹聽到我這一番話，開心得又叫又跳。,hello.mp3
妹妹,說好了喔，等到我長大，還要再來這裡喔!,hello.mp3
我,好~好~一定。,hello.mp3
,我們兩個手勾著手，做下了約定。,hello.mp3
,(回到現在),hello.mp3
,此時，河北馬鈴薯王又打來了電話。,hello.mp3
馬鈴薯王,時間快到了，你的錢準備好了嗎?,hello.mp3
我,快好了，再給我一點時間，拜託。,hello.mp3
馬鈴薯王,哼，5點就是5點，就算超過一秒也不行。,hello.mp3
我,好，我盡量。作為交換，妳可以讓我聽聽妹妹的聲音嗎?,hello.mp3
馬鈴薯王,你還不知道嗎……好吧，但這是最後一次了。,hello.mp3
,(妹妹的聲音),hello.mp3
我,你在哪?我現在就過去找你!,hello.mp3
妹妹,哥哥，我可能沒有辦法再做你的妹妹了。,hello.mp3
妹妹,我們來聊天吧，當作對兄妹這段關係的道別。,hello.mp3
我,你在說甚麼?到底發生了甚麼?,hello.mp3
妹妹,…沒事。你還記得我們的約定嗎?,hello.mp3
我,你說…湖中涼亭的那個約定嗎?那種事怎樣都好，你到底在哪裡?,hello.mp3
妹妹,…怎樣都好是嗎…不是說好了，要一起去嗎?,hello.mp3
妹妹,我們的約定，就只有這樣嗎?,hello.mp3
妹妹,…,hello.mp3
妹妹,…,hello.mp3
我,喂!喂!喂!妳怎麼了?,hello.mp3
馬鈴薯王,道別結束了，時間也快到了，如果想要救你妹妹的性命的話，現在立刻帶著那5000萬來小福一樓的郵局前，當然啦，如果你不來的話，也是可以的。但是，你就準備替你妹妹收屍了，哈哈哈!,hello.mp3
,(電話掛斷 時鐘顯示：下午16:55),hello.mp3
我,喂!等等!,hello.mp3
,怎麼辦，我下一步要怎麼做?,hello.mp3
